lambda [Angstrom],atmospheric_emission [arbitrary flux units]
3814.9387,0.10875471
3816.6155,0.113449596
3818.2932,0.121826686
3819.9714,0.10069468
3821.6506,0.115173556
3823.3303,0.1115638
3825.011,0.089766994
3826.6921,0.10333222
3828.3743,0.13675998
3830.0571,0.15907876
3831.7405,0.14315484
3833.4248,0.12497711
3835.1099,0.12035705
3836.7954,0.11240002
3838.482,0.100042224
3840.1692,0.105536565
3841.8572,0.1307052
3843.546,0.13767412
3845.2354,0.1465112
3846.9255,0.13527985
3848.6165,0.12791516
3850.308,0.1260228
3852.0005,0.12947792
3853.6936,0.12108432
3855.3875,0.11414228
3857.082,0.10329499
3858.7776,0.08335559
3860.4736,0.09672569
3862.1704,0.12883097
3863.8682,0.13112079
3865.5664,0.119644135
3867.2656,0.11826327
3868.9656,0.108534604
3870.666,0.08622887
3872.3674,0.0925394
3874.0696,0.13148731
3875.7725,0.13432257
3877.476,0.10952877
3879.1804,0.10472591
3880.8855,0.10518479
3882.5913,0.1067295
3884.2979,0.116604514
3886.0054,0.10230576
3887.7134,0.11104728
3889.422,0.11998687
3891.1318,0.13254301
3892.842,0.13901778
3894.5532,0.13604823
3896.2651,0.14626977
3897.9778,0.14673904
3899.6912,0.14417213
3901.4053,0.15209834
3903.12,0.15080006
3904.8357,0.16698521
3906.552,0.18476109
3908.2693,0.20565416
3909.987,0.20506518
3911.7058,0.21890457
3913.425,0.22023517
3915.1453,0.189224
3916.8662,0.16785395
3918.588,0.15441473
3920.3103,0.13146803
3922.0334,0.12999506
3923.7573,0.13727304
3925.482,0.12824722
3927.2075,0.10779081
3928.9336,0.0903126
3930.6606,0.07697744
3932.3884,0.07290086
3934.117,0.06780976
3935.8462,0.07538542
3937.5762,0.10128483
3939.307,0.12975498
3941.0383,0.146933
3942.7708,0.14792654
3944.5037,0.14392416
3946.2375,0.15984191
3947.9722,0.15350479
3949.7075,0.15841296
3951.4436,0.16117331
3953.1804,0.14967632
3954.918,0.1546336
3956.6565,0.14574648
3958.3955,0.14779358
3960.1355,0.13890506
3961.8762,0.11438522
3963.6177,0.09785267
3965.3599,0.0836841
3967.1028,0.062429365
3968.8467,0.056341335
3970.591,0.076382086
3972.3364,0.10110395
3974.0825,0.1295605
3975.829,0.14317007
3977.577,0.15350264
3979.3252,0.16945593
3981.0742,0.17166454
3982.8242,0.16499199
3984.5747,0.16386133
3986.3262,0.16548184
3988.0784,0.17467034
3989.8313,0.16927312
3991.5852,0.17183602
3993.3396,0.17386812
3995.095,0.16443063
3996.8508,0.1625068
3998.6077,0.1749295
4000.3652,0.18280418
4002.1238,0.1781015
4003.8828,0.1713373
4005.6428,0.15768936
4007.4033,0.18408175
4009.1648,0.19717655
4010.927,0.1978449
4012.6902,0.19776385
4014.4539,0.19086045
4016.2185,0.18155916
4017.984,0.1881629
4019.75,0.21037666
4021.5168,0.20154862
4023.2844,0.19971992
4025.053,0.19125958
4026.822,0.19004403
4028.592,0.19217037
4030.3628,0.17114003
4032.1343,0.15957339
4033.9067,0.15998599
4035.68,0.18095197
4037.4536,0.19724758
4039.2283,0.19009805
4041.004,0.19893233
4042.78,0.2115515
4044.5571,0.22842109
4046.3347,0.3370038
4048.1135,0.27871034
4049.8928,0.21535017
4051.6729,0.19496612
4053.4539,0.19010401
4055.2356,0.1860456
4057.018,0.16736819
4058.8013,0.17904632
4060.5852,0.19700499
4062.37,0.18156436
4064.1558,0.18447407
4065.9421,0.19676772
4067.7292,0.19855388
4069.5173,0.20285784
4071.3062,0.17668334
4073.0957,0.1834069
4074.886,0.19886938
4076.677,0.20367984
4078.469,0.20008788
4080.2617,0.20925951
4082.0552,0.20631671
4083.8494,0.18714835
4085.6445,0.19491066
4087.4402,0.20193498
4089.2368,0.19785658
4091.0344,0.18633536
4092.8325,0.18512864
4094.6316,0.17850782
4096.431,0.17022169
4098.232,0.16752103
4100.033,0.153773
4101.8354,0.1320082
4103.6387,0.1474662
4105.4424,0.16631733
4107.2466,0.17416464
4109.0522,0.1732135
4110.8584,0.16810161
4112.665,0.17581499
4114.4727,0.18407808
4116.2812,0.18567242
4118.091,0.17143726
4119.901,0.1710234
4121.712,0.17726924
4123.5234,0.1864342
4125.336,0.18478042
4127.1494,0.18166056
4128.9634,0.18159257
4130.7783,0.17417398
4132.5938,0.17095232
4134.41,0.17762443
4136.2275,0.19052914
4138.046,0.19264777
4139.8647,0.19635038
4141.684,0.17176878
4143.505,0.15266334
4145.326,0.1741264
4147.148,0.17750981
4148.971,0.16982347
4150.7944,0.17271708
4152.619,0.17525797
4154.4443,0.17809975
4156.2705,0.18257743
4158.097,0.18257211
4159.9253,0.18890125
4161.7534,0.19736509
4163.583,0.21128406
4165.413,0.21517873
4167.2437,0.19670852
4169.0757,0.20366144
4170.908,0.19431044
4172.741,0.17476135
4174.5757,0.17276263
4176.4106,0.17769004
4178.246,0.1815577
4180.083,0.17957282
4181.92,0.16959612
4183.7583,0.16695225
4185.597,0.17034638
4187.437,0.15322977
4189.278,0.16821703
4191.119,0.17054503
4192.9614,0.17945367
4194.804,0.16761571
4196.648,0.15249524
4198.4927,0.14437237
4200.3384,0.15176749
4202.1846,0.14714637
4204.0312,0.15818395
4205.8794,0.17120461
4207.728,0.17964864
4209.5776,0.17082796
4211.4277,0.17138699
4213.279,0.16983508
4215.131,0.15496832
4216.984,0.15917945
4218.8374,0.16336091
4220.692,0.17012028
4222.547,0.16102713
4224.403,0.1445331
4226.26,0.118259124
4228.117,0.13840069
4229.9756,0.16736765
4231.835,0.16460589
4233.6953,0.15990366
4235.556,0.15375802
4237.418,0.1525155
4239.2803,0.15275334
4241.1436,0.1570207
4243.008,0.156752
4244.873,0.17570093
4246.739,0.18472132
4248.6055,0.15635416
4250.473,0.15313236
4252.3413,0.1705731
4254.2104,0.15508027
4256.08,0.16580912
4257.951,0.16630141
4259.8228,0.14027081
4261.695,0.14943638
4263.5684,0.16811498
4265.4424,0.1702035
4267.3174,0.1659453
4269.193,0.15230426
4271.0693,0.1364536
4272.947,0.13841633
4274.8247,0.14828883
4276.704,0.16930723
4278.5835,0.16660987
4280.4644,0.15366252
4282.3457,0.15743662
4284.228,0.15906927
4286.1113,0.1475812
4287.995,0.14227797
4289.88,0.13295238
4291.7656,0.15095687
4293.652,0.15575874
4295.5396,0.14842178
4297.4272,0.13545088
4299.3164,0.11707326
4301.206,0.115882054
4303.0967,0.11721907
4304.9883,0.123487666
4306.8804,0.120597504
4308.7734,0.1166898
4310.6675,0.124447204
4312.562,0.1485128
4314.4575,0.1740162
4316.354,0.18633191
4318.2515,0.18611763
4320.1494,0.18669936
4322.0483,0.16287704
4323.948,0.1332015
4325.8486,0.1350985
4327.75,0.15712921
4329.6523,0.16508076
4331.5557,0.16227445
4333.4595,0.16550273
4335.3643,0.1646416
4337.27,0.14555173
4339.1763,0.12698373
4341.0835,0.13049218
4342.9917,0.14818576
4344.9004,0.1624064
4346.8105,0.17988794
4348.721,0.18078601
4350.6323,0.15583132
4352.545,0.14468317
4354.458,0.16434412
4356.372,0.31065685
4358.2866,0.5316375
4360.2026,0.30760744
4362.119,0.19881718
4364.0366,0.17893744
4365.9546,0.17633153
4367.8735,0.16876988
4369.7935,0.16504847
4371.7144,0.16245061
4373.6357,0.16226286
4375.558,0.16503161
4377.4814,0.16923127
4379.406,0.16809419
4381.3306,0.15601283
4383.2563,0.122348644
4385.183,0.13505249
4387.111,0.15299603
4389.039,0.14919583
4390.9683,0.15352207
4392.8984,0.15972477
4394.829,0.15670063
4396.7607,0.16312197
4398.6934,0.1657771
4400.627,0.16552949
4402.561,0.16920966
4404.496,0.15622185
4406.432,0.17215987
4408.369,0.1762913
4410.3066,0.18309197
4412.2456,0.193738
4414.1846,0.1762731
4416.125,0.17566966
4418.066,0.17922576
4420.0083,0.19249153
4421.9507,0.1781122
4423.8945,0.17438541
4425.839,0.1788905
4427.7847,0.17662284
4429.7305,0.1697521
4431.6777,0.17282535
4433.6255,0.15964611
4435.5747,0.1538159
4437.524,0.17724195
4439.4746,0.18042958
4441.426,0.16141263
4443.3784,0.15848884
4445.3315,0.17543751
4447.285,0.17036097
4449.24,0.16785398
4451.196,0.16585521
4453.1523,0.15630478
4455.1094,0.1443437
4457.068,0.14953801
4459.027,0.14701733
4460.987,0.14873008
4462.9478,0.15616985
4464.909,0.16282195
4466.872,0.16098458
4468.8354,0.15383898
4470.8,0.15514603
4472.7646,0.1674165
4474.731,0.1698669
4476.6978,0.16889784
4478.6655,0.16316728
4480.634,0.1486553
4482.6035,0.15488058
4484.5737,0.17032152
4486.545,0.16962962
4488.517,0.1579755
4490.4897,0.15751341
4492.464,0.16946992
4494.4385,0.16148736
4496.414,0.1653761
4498.39,0.17166083
4500.3677,0.16552196
4502.3457,0.16794369
4504.3247,0.17303945
4506.3047,0.17447914
4508.285,0.17117003
4510.2666,0.17268401
4512.2495,0.16649538
4514.2324,0.16353741
4516.217,0.16297045
4518.202,0.1627795
4520.188,0.17193687
4522.175,0.17007367
4524.1626,0.16306372
4526.151,0.15654874
4528.1406,0.15483221
4530.131,0.158831
4532.122,0.16729501
4534.1143,0.1624848
4536.107,0.16684438
4538.101,0.17773086
4540.0957,0.17102535
4542.0913,0.17541614
4544.088,0.17797855
4546.085,0.1752186
4548.0835,0.16408356
4550.0825,0.16136202
4552.0825,0.16741627
4554.0835,0.1617687
4556.085,0.16178487
4558.0874,0.1719278
4560.0913,0.1706429
4562.0957,0.16833459
4564.1006,0.15723486
4566.107,0.15880208
4568.114,0.16683449
4570.122,0.16308174
4572.131,0.16006875
4574.14,0.16763496
4576.151,0.16819967
4578.162,0.16735995
4580.175,0.16016783
4582.188,0.16016993
4584.202,0.1587469
4586.217,0.15568012
4588.233,0.165792
4590.2495,0.16080992
4592.267,0.15514065
4594.2856,0.15607305
4596.305,0.15297529
4598.325,0.15716016
4600.3467,0.15089843
4602.3687,0.15236466
4604.3916,0.15317683
4606.4155,0.15446895
4608.44,0.16387863
4610.466,0.1608482
4612.492,0.15349053
4614.5195,0.15433058
4616.548,0.15429878
4618.577,0.1516062
4620.6074,0.15583964
4622.638,0.15817432
4624.6704,0.15358263
4626.703,0.15733954
4628.737,0.1550382
4630.771,0.152553
4632.8066,0.15237586
4634.843,0.15268196
4636.8804,0.14727858
4638.9185,0.14518082
4640.9575,0.15116845
4642.997,0.1509438
4645.038,0.14376876
4647.0796,0.13821241
4649.1226,0.1460373
4651.166,0.15380087
4653.2104,0.1517267
4655.256,0.14859547
4657.302,0.16080813
4659.349,0.17161256
4661.397,0.16672373
4663.446,0.16407777
4665.4956,0.15617536
4667.5464,0.15027347
4669.598,0.16390897
4671.6504,0.16892423
4673.704,0.16628067
4675.7583,0.16893065
4677.8135,0.1587553
4679.8696,0.15399234
4681.927,0.15550068
4683.9844,0.15834965
4686.0435,0.15824005
4688.103,0.15382014
4690.1636,0.15283439
4692.225,0.15219435
4694.2876,0.15608777
4696.351,0.15305153
4698.4155,0.14514379
4700.4805,0.14414638
4702.547,0.14150177
4704.614,0.14797094
4706.6816,0.14941171
4708.7505,0.1500931
4710.8203,0.1532021
4712.8906,0.15173075
4714.9624,0.14992216
4717.0347,0.15599893
4719.108,0.16041249
4721.182,0.1552031
4723.2573,0.1572247
4725.3335,0.15883876
4727.4106,0.15093356
4729.489,0.15443999
4731.5674,0.14914559
4733.647,0.15878299
4735.728,0.15379876
4737.8096,0.16131496
4739.892,0.16357477
4741.975,0.16658959
4744.0596,0.16581029
4746.145,0.15553814
4748.231,0.15334074
4750.318,0.15309663
4752.4062,0.15568979
4754.495,0.14820164
4756.585,0.14285731
4758.6753,0.14928077
4760.767,0.14235519
4762.86,0.1378349
4764.953,0.13624707
4767.048,0.13694969
4769.143,0.14376828
4771.2393,0.1410823
4773.3364,0.14347763
4775.4346,0.14777601
4777.5337,0.15137531
4779.634,0.1508141
4781.7344,0.1445679
4783.8364,0.14021982
4785.939,0.13941224
4788.0425,0.14031382
4790.147,0.14138262
4792.253,0.1459437
4794.359,0.14740536
4796.4663,0.14772677
4798.5747,0.13884366
4800.684,0.14056593
4802.794,0.14438042
4804.9053,0.1430771
4807.017,0.1412007
4809.13,0.13952681
4811.2437,0.14206773
4813.3584,0.14497027
4815.474,0.15219387
4817.591,0.15358336
4819.7085,0.1564589
4821.827,0.1544455
4823.9463,0.14793816
4826.067,0.15263371
4828.188,0.15129499
4830.31,0.14865853
4832.4336,0.15183683
4834.5576,0.1522086
4836.6826,0.15179178
4838.8086,0.15135574
4840.9355,0.1489756
4843.063,0.14480586
4845.192,0.14754705
4847.322,0.14825341
4849.452,0.14044401
4851.584,0.14383425
4853.7163,0.13654244
4855.8496,0.1250967
4857.9844,0.12196403
4860.1196,0.11903909
4862.256,0.12104351
4864.393,0.12506165
4866.5312,0.13291338
4868.67,0.13874204
4870.81,0.12547824
4872.951,0.12716663
4875.093,0.13416368
4877.236,0.13838533
4879.3794,0.1465211
4881.5244,0.14495684
4883.67,0.14366248
4885.8164,0.1375287
4887.964,0.13713251
4890.113,0.12998039
4892.262,0.13462535
4894.4126,0.14694047
4896.564,0.14760615
4898.716,0.14247754
4900.869,0.14136007
4903.0234,0.13875428
4905.1787,0.14462999
4907.3345,0.14226949
4909.4917,0.13411283
4911.6494,0.13394047
4913.8086,0.14294878
4915.9683,0.14493608
4918.129,0.12706259
4920.291,0.11833515
4922.4536,0.13261256
4924.617,0.13539921
4926.7817,0.13873419
4928.9473,0.14040753
4931.114,0.14022222
4933.2812,0.13200212
4935.4497,0.1364988
4937.619,0.13339394
4939.7896,0.1323683
4941.9604,0.14067246
4944.133,0.13877092
4946.306,0.13618852
4948.48,0.14147955
4950.6553,0.14077276
4952.831,0.14596012
4955.0083,0.13958533
4957.186,0.12107124
4959.365,0.13591056
4961.545,0.14198628
4963.726,0.14667997
4965.9077,0.14340997
4968.0903,0.14647949
4970.274,0.14804406
4972.459,0.15660082
4974.6445,0.16060673
4976.831,0.16575043
4979.0186,0.1737057
4981.207,0.17412193
4983.3965,0.16681227
4985.587,0.17025365
4987.7783,0.1692703
4989.9707,0.15893857
4992.164,0.15674353
4994.3584,0.14899091
4996.5537,0.1465191
4998.75,0.13907912
5000.9473,0.13459365
5003.145,0.13515607
5005.344,0.1304565
5007.5444,0.13137922
5009.7456,0.13563989
5011.9473,0.12607703
5014.1504,0.12176813
5016.3545,0.12738141
5018.559,0.12516323
5020.765,0.12850209
5022.972,0.1257739
5025.1797,0.12646458
5027.3887,0.1244565
5029.5986,0.13051865
5031.809,0.13405578
5034.021,0.12922107
5036.2334,0.12170245
5038.4473,0.12108638
5040.662,0.110680304
5042.8774,0.120228745
5045.094,0.13036586
5047.3115,0.12570255
5049.5303,0.11914957
5051.7495,0.120167196
5053.97,0.12676156
5056.1914,0.12824672
5058.414,0.12815382
5060.6377,0.1282747
5062.862,0.1312024
5065.0874,0.12429809
5067.3135,0.1258503
5069.541,0.13421987
5071.769,0.12616645
5073.9985,0.12290896
5076.2285,0.12557651
5078.46,0.11839126
5080.6924,0.1295356
5082.9253,0.14440794
5085.1597,0.15424362
5087.3945,0.14575543
5089.631,0.13171531
5091.868,0.12772956
5094.106,0.12708883
5096.345,0.12486515
5098.5854,0.122098275
5100.826,0.12844874
5103.0684,0.123863675
5105.3115,0.119338654
5107.5557,0.11692556
5109.8003,0.11654322
5112.0464,0.12306301
5114.2935,0.12372527
5116.5415,0.12660792
5118.7905,0.12510012
5121.0405,0.11920872
5123.2915,0.113663204
5125.543,0.11168763
5127.796,0.11430832
5130.05,0.11735768
5132.3047,0.12190873
5134.561,0.12519275
5136.818,0.12092241
5139.0757,0.11579449
5141.3345,0.119033314
5143.594,0.11995971
5145.855,0.12249659
5148.117,0.12712972
5150.38,0.1324037
5152.6436,0.13736461
5154.9087,0.13873191
5157.1743,0.13069579
5159.441,0.1252726
5161.709,0.12222253
5163.9775,0.11491182
5166.2476,0.099548206
5168.5186,0.09860556
5170.79,0.10279586
5173.063,0.0924182
5175.337,0.11735454
5177.6113,0.12178192
5179.887,0.11749234
5182.164,0.09887911
5184.442,0.09126213
5186.7207,0.1221732
5189.0005,0.1257935
5191.2812,0.115180515
5193.563,0.11429058
5195.846,0.13037196
5198.13,0.16545253
5200.4146,0.1516425
5202.7,0.13563113
5204.9873,0.11482288
5207.275,0.11416875
5209.564,0.12234883
5211.854,0.12721612
5214.1445,0.11977116
5216.4365,0.11793488
5218.7295,0.12848903
5221.0234,0.12746316
5223.3184,0.13275445
5225.614,0.11688324
5227.911,0.10986393
5230.209,0.12428684
5232.508,0.11918083
5234.8076,0.11694772
5237.1084,0.13111353
5239.4106,0.13875882
5241.7134,0.12288509
5244.0176,0.120116614
5246.3223,0.12017507
5248.6284,0.12123877
5250.9355,0.120262235
5253.2437,0.1191094
5255.5527,0.13503976
5257.863,0.1353033
5260.174,0.12326942
5262.486,0.10896339
5264.799,0.10206949
5267.113,0.106210776
5269.428,0.104291484
5271.744,0.11332704
5274.0615,0.11901703
5276.38,0.12669584
5278.6987,0.12324111
5281.019,0.11658785
5283.3403,0.1121288
5285.6626,0.12349788
5287.986,0.12303992
5290.31,0.12592374
5292.6357,0.12521584
5294.962,0.12249982
5297.2896,0.116229564
5299.6177,0.12385544
5301.9473,0.12123117
5304.278,0.1244886
5306.609,0.124568254
5308.9414,0.12372019
5311.275,0.1282897
5313.61,0.12756476
5315.9453,0.11931583
5318.2817,0.12356666
5320.6196,0.12400325
5322.958,0.120568655
5325.298,0.11828721
5327.6387,0.10556364
5329.9805,0.12039003
5332.323,0.12402778
5334.667,0.121170774
5337.0117,0.12129984
5339.3574,0.11661806
5341.7046,0.11815964
5344.0522,0.12136381
5346.4014,0.11743536
5348.7515,0.12553449
5351.1025,0.12313969
5353.4546,0.11938084
5355.8076,0.13132827
5358.1616,0.12233576
5360.5166,0.116468735
5362.873,0.11073358
5365.23,0.11016619
5367.5884,0.11356981
5369.9478,0.106239155
5372.308,0.1090643
5374.6694,0.12272076
5377.0317,0.11872951
5379.3955,0.115150526
5381.76,0.111589305
5384.1255,0.11284297
5386.492,0.11689101
5388.8594,0.1133726
5391.228,0.1182032
5393.598,0.11390403
5395.9688,0.11000977
5398.3403,0.108012885
5400.7134,0.11138871
5403.087,0.10817904
5405.462,0.1017994
5407.838,0.110892765
5410.215,0.10843594
5412.593,0.11179631
5414.972,0.11377353
5417.352,0.11857508
5419.7334,0.11629768
5422.1157,0.11407917
5424.499,0.11350156
5426.8833,0.11822831
5429.2686,0.111045614
5431.655,0.116300166
5434.0425,0.11424995
5436.431,0.11575136
5438.8203,0.12281815
5441.211,0.122448705
5443.6025,0.12038976
5445.9956,0.116818175
5448.389,0.11827277
5450.784,0.12539518
5453.1797,0.12040075
5455.5767,0.11461454
5457.9746,0.167806
5460.374,0.413856
5462.774,0.2566927
5465.1753,0.14332414
5467.577,0.1312864
5469.9805,0.12942804
5472.385,0.1250108
5474.79,0.121316046
5477.197,0.114741854
5479.604,0.12452304
5482.0127,0.13346365
5484.4224,0.13551642
5486.833,0.12369103
5489.2446,0.12083444
5491.657,0.123851106
5494.0713,0.12067961
5496.4863,0.12321133
5498.902,0.12644824
5501.319,0.12348166
5503.7373,0.12211766
5506.1562,0.122349486
5508.5767,0.124331996
5510.9976,0.12425129
5513.42,0.12979665
5515.8438,0.12788107
5518.268,0.12850969
5520.6934,0.13640225
5523.12,0.12540245
5525.548,0.12686366
5527.9766,0.117976926
5530.4062,0.121413596
5532.8374,0.12166212
5535.269,0.118585624
5537.702,0.121314615
5540.136,0.12663749
5542.5713,0.13622275
5545.0073,0.13451877
5547.445,0.12407455
5549.8833,0.12591241
5552.3228,0.1205941
5554.763,0.11849866
5557.2046,0.119553745
5559.6475,0.117887415
5562.091,0.12629512
5564.5356,0.1367251
5566.982,0.11668744
5569.4287,0.120336324
5571.8765,0.12057405
5574.3257,0.42585167
5576.776,4.7594934
5579.227,1.7550352
5581.6797,0.14674638
5584.133,0.113168605
5586.5874,0.1100278
5589.043,0.12519397
5591.4995,0.11476497
5593.9575,0.10785966
5596.416,0.11714849
5598.876,0.116630614
5601.337,0.109444655
5603.799,0.12971713
5606.262,0.13584006
5608.7266,0.11783768
5611.1914,0.1156487
5613.658,0.11245682
5616.1255,0.11245912
5618.594,0.116542816
5621.0635,0.11703046
5623.534,0.13217022
5626.0063,0.11725869
5628.479,0.11528817
5630.953,0.11667574
5633.428,0.116268314
5635.9043,0.11341886
5638.3813,0.11741256
5640.86,0.11796429
5643.3394,0.11952889
5645.82,0.1289725
5648.3013,0.120467566
5650.784,0.11802633
5653.2676,0.11958506
5655.7524,0.11868603
5658.239,0.11812657
5660.7256,0.1220565
5663.214,0.12614746
5665.703,0.1338936
5668.1934,0.14107655
5670.6846,0.16034538
5673.1772,0.15797749
5675.671,0.1481262
5678.1655,0.14897704
5680.6616,0.17486604
5683.158,0.22061417
5685.6562,0.23757279
5688.1553,0.25810087
5690.656,0.24686173
5693.157,0.20193675
5695.659,0.17298177
5698.163,0.16145256
5700.6675,0.15656357
5703.1733,0.13957432
5705.68,0.13441262
5708.188,0.13060707
5710.697,0.13609208
5713.207,0.13523714
5715.7183,0.12980075
5718.2305,0.13275912
5720.744,0.13123274
5723.2583,0.13416524
5725.774,0.13106623
5728.291,0.12647381
5730.8086,0.12385492
5733.3276,0.1265923
5735.8477,0.12625949
5738.369,0.12342767
5740.891,0.1254994
5743.4146,0.12752652
5745.939,0.1267523
5748.465,0.12325551
5750.991,0.12519722
5753.519,0.1219703
5756.0483,0.12676144
5758.578,0.13004625
5761.1094,0.1304436
5763.6416,0.13310337
5766.175,0.1578354
5768.7095,0.21850035
5771.245,0.18434332
5773.7817,0.1433235
5776.32,0.13412409
5778.8584,0.13242298
5781.3984,0.12907743
5783.94,0.13015969
5786.482,0.14423737
5789.0254,0.197691
5791.5703,0.20475282
5794.1157,0.15206511
5796.6626,0.14116257
5799.2104,0.13565175
5801.7593,0.13755849
5804.3096,0.13706253
5806.861,0.13633218
5809.413,0.13637656
5811.967,0.13567829
5814.5215,0.13612203
5817.077,0.13565019
5819.634,0.14134935
5822.192,0.1405585
5824.751,0.1414312
5827.3115,0.1403098
5829.8726,0.1423432
5832.435,0.14397411
5834.999,0.1445968
5837.5635,0.14458783
5840.1294,0.14368564
5842.6963,0.14675428
5845.2646,0.147117
5847.834,0.14582469
5850.4043,0.14808473
