lambda [Angstrom],atmospheric_emission [arbitrary flux units]
5852.9756,0.14935471
5855.5483,0.14899963
5858.122,0.14603348
5860.6973,0.14935505
5863.273,0.16323982
5865.85,0.2097596
5868.4287,0.2031921
5871.008,0.16276301
5873.5884,0.15507379
5876.1704,0.1418272
5878.753,0.12936044
5881.337,0.12613867
5883.9224,0.12848032
5886.5083,0.22403432
5889.0957,0.92111903
5891.6846,0.5860728
5894.274,0.49834839
5896.8647,0.6308159
5899.457,0.16122799
5902.05,0.13759746
5904.644,0.14494926
5907.2393,0.1512239
5909.836,0.13885444
5912.4336,0.15113376
5915.032,0.20331897
5917.6323,0.16508068
5920.2334,0.15052675
5922.8354,0.16414556
5925.439,0.17796929
5928.0435,0.15972877
5930.649,0.18376385
5933.256,0.22614156
5935.864,0.16939011
5938.4727,0.15888533
5941.083,0.15224256
5943.6943,0.16178837
5946.307,0.17582119
5948.921,0.15495642
5951.5356,0.18418656
5954.1514,0.208143
5956.7686,0.15543886
5959.3867,0.15066181
5962.0063,0.15457189
5964.627,0.15104409
5967.2485,0.15088454
5969.8716,0.16637824
5972.4956,0.15701099
5975.1206,0.16404231
5977.747,0.17753763
5980.3745,0.14999448
5983.003,0.14309148
5985.633,0.14198153
5988.2637,0.1428859
5990.896,0.14094722
5993.5293,0.14130118
5996.1636,0.14577337
5998.7993,0.14410089
6001.436,0.14109193
6004.0737,0.15261486
6006.713,0.13553832
6009.353,0.13108744
6011.9946,0.12999375
6014.637,0.12861092
6017.281,0.12624927
6019.926,0.12544756
6022.572,0.12315413
6025.2188,0.12583517
6027.867,0.12984714
6030.5166,0.12677196
6033.1675,0.13362966
6035.8193,0.12846433
6038.472,0.12331794
6041.1265,0.12039315
6043.7817,0.11985211
6046.4385,0.1193363
6049.096,0.118170835
6051.755,0.11697058
6054.415,0.11650195
6057.076,0.11493936
6059.7383,0.116481036
6062.402,0.11658689
6065.067,0.114801705
6067.7324,0.11729591
6070.3994,0.11315665
6073.068,0.11239849
6075.7373,0.111115694
6078.4077,0.10950289
6081.0796,0.10855893
6083.7524,0.107466474
6086.4263,0.108516246
6089.1016,0.10743103
6091.7783,0.10643956
6094.4556,0.110037215
6097.135,0.112145886
6099.8145,0.11119087
6102.4956,0.10971594
6105.178,0.11266371
6107.8613,0.11012735
6110.5464,0.11295329
6113.232,0.113244265
6115.919,0.10980018
6118.6074,0.10748858
6121.297,0.103091575
6123.9873,0.10482328
6126.679,0.10505564
6129.372,0.10345411
6132.066,0.104426906
6134.761,0.1075372
6137.458,0.11434022
6140.156,0.11803272
6142.8545,0.121184535
6145.5547,0.11898701
6148.256,0.106774986
6150.958,0.111733384
6153.662,0.12932114
6156.3667,0.12489139
6159.0728,0.12801817
6161.78,0.13868594
6164.4883,0.1101342
6167.1978,0.10571053
6169.9087,0.12877102
6172.6206,0.11515597
6175.3335,0.10734378
6178.048,0.10438199
6180.7637,0.099928685
6183.4805,0.1033894
6186.198,0.10083111
6188.9175,0.100644045
6191.6377,0.10348173
6194.359,0.104267366
6197.082,0.09764188
6199.8057,0.102229066
6202.531,0.12099107
6205.257,0.10473649
6207.9844,0.099285096
6210.7134,0.10513487
6213.4434,0.1039505
6216.1743,0.09448569
6218.9067,0.10076823
6221.64,0.12122177
6224.3745,0.10321104
6227.1104,0.09246392
6229.8477,0.09072997
6232.586,0.12988879
6235.3257,0.21656209
6238.0664,0.17080067
6240.808,0.13838111
6243.5513,0.12511256
6246.2954,0.10164967
6249.041,0.09913921
6251.7876,0.09155618
6254.5356,0.10708595
6257.2847,0.2041783
6260.035,0.15807813
6262.7866,0.11776237
6265.5396,0.13475902
6268.2935,0.112657614
6271.049,0.0980554
6273.805,0.10554744
6276.563,0.11506666
6279.322,0.10478025
6282.0815,0.09426258
6284.843,0.12657425
6287.6055,0.18876208
6290.369,0.11924026
6293.134,0.09710149
6295.9,0.15012659
6298.6675,0.8868214
6301.436,0.9282876
6304.2056,0.1820113
6306.9766,0.21969198
6309.749,0.12656426
6312.5225,0.09538048
6315.297,0.091449015
6318.0728,0.095653184
6320.85,0.12825514
6323.628,0.109886706
6326.4077,0.108219415
6329.1885,0.18318835
6331.97,0.13994874
6334.7534,0.09352059
6337.538,0.09081952
6340.3237,0.09399364
6343.1104,0.095742024
6345.8984,0.10093281
6348.688,0.11886026
6351.4785,0.099928565
6354.27,0.12293499
6357.063,0.1478705
6359.8574,0.12377136
6362.653,0.3927766
6365.449,0.30474356
6368.2476,0.09476809
6371.0464,0.09068318
6373.8467,0.091808885
6376.6484,0.09706138
6379.451,0.10810799
6382.2554,0.098702736
6385.0605,0.11594518
6387.867,0.11366541
6390.675,0.08990419
6393.484,0.0883139
6396.294,0.08785483
6399.1055,0.08679331
6401.918,0.09248244
6404.732,0.08857944
6407.5474,0.08462
6410.364,0.086810075
6413.181,0.09607795
6416,0.089249335
6418.8203,0.09448317
6421.6416,0.09507585
6424.4644,0.08660212
6427.288,0.08627299
6430.1133,0.0835697
6432.9395,0.08400892
6435.767,0.084904395
6438.5957,0.08231733
6441.426,0.082627885
6444.2573,0.08501099
6447.09,0.08600098
6449.9233,0.08876297
6452.759,0.092319414
6455.5947,0.08918105
6458.4326,0.094064064
6461.271,0.09818136
6464.1113,0.14300887
6466.9526,0.13980389
6469.795,0.13876735
6472.6387,0.1198386
6475.484,0.09049094
6478.33,0.09973786
6481.1777,0.08586912
6484.0264,0.080109395
6486.8765,0.081461936
6489.7275,0.08070454
6492.58,0.07985749
6495.434,0.100861154
6498.289,0.1995276
6501.145,0.13291653
6504.003,0.11851715
6506.8613,0.10717948
6509.7217,0.0830032
6512.583,0.088875085
6515.4453,0.08527891
6518.309,0.078822404
6521.1743,0.1018791
6524.0405,0.10161717
6526.908,0.084146164
6529.7773,0.0969195
6532.6475,0.17393194
6535.5186,0.11544419
6538.3916,0.08312128
6541.265,0.09647743
6544.1406,0.12070632
6547.017,0.091775775
6549.8945,0.090610266
6552.7734,0.17842174
6555.654,0.13435814
6558.535,0.0778691
6561.418,0.1270006
6564.3022,0.123058476
6567.1875,0.09686584
6570.074,0.104073904
6572.962,0.08231184
6575.851,0.13961022
6578.741,0.14070582
6581.633,0.08672273
6584.526,0.08643789
6587.42,0.07945817
6590.3154,0.08115572
6593.2124,0.08117794
6596.1104,0.09817619
6599.01,0.08746041
6601.91,0.09989765
6604.812,0.12086069
6607.715,0.08200975
6610.6196,0.077694476
6613.525,0.07749432
6616.432,0.076889776
6619.3403,0.07846551
6622.2495,0.07771125
6625.1606,0.08140404
6628.0728,0.08780591
6630.986,0.08179615
6633.9004,0.09624336
6636.8164,0.08482508
6639.7334,0.078934945
6642.652,0.07654315
6645.572,0.07681691
6648.4927,0.07820313
6651.415,0.078680426
6654.339,0.07770556
6657.2637,0.07821099
6660.19,0.081453495
6663.117,0.08145302
6666.046,0.08380178
6668.976,0.08485013
6671.907,0.07791858
6674.84,0.07724025
6677.774,0.07704457
6680.709,0.077326894
6683.6455,0.07782709
6686.583,0.07899669
6689.522,0.07852372
6692.4624,0.07661169
6695.4043,0.077661805
6698.347,0.08316023
6701.2915,0.08370421
6704.237,0.0843868
6707.1836,0.089252844
6710.132,0.08323364
6713.081,0.07916115
6716.0317,0.085422695
6718.984,0.07998692
6721.937,0.0770147
6724.8916,0.07730857
6727.8477,0.07820367
6730.8047,0.08211244
6733.763,0.07865817
6736.723,0.07684935
6739.684,0.080571204
6742.6465,0.08062176
6745.6104,0.08011404
6748.575,0.076723926
6751.5415,0.074534714
6754.5093,0.07571186
6757.478,0.07564885
6760.448,0.075109735
6763.42,0.07558552
6766.3926,0.07349751
6769.3667,0.074160576
6772.3423,0.0735114
6775.319,0.073467515
6778.297,0.07433762
6781.2764,0.07414668
6784.257,0.07508687
6787.239,0.07529001
6790.222,0.074988104
6793.207,0.071753785
6796.193,0.07176181
6799.18,0.071886614
6802.1685,0.07309547
6805.158,0.072379746
6808.1494,0.07266047
6811.142,0.07212764
6814.1357,0.07173138
6817.131,0.07297174
6820.1274,0.07300869
6823.125,0.07371379
6826.124,0.1408943
6829.1245,0.26297292
6832.1265,0.21443589
6835.1294,0.21922931
6838.134,0.09356899
6841.139,0.11364573
6844.1465,0.089644335
6847.155,0.07306468
6850.164,0.078126095
6853.1753,0.07336
6856.1875,0.07088495
6859.201,0.078218356
6862.216,0.27147987
6865.2324,0.3079617
6868.25,0.09864347
6871.2686,0.11539463
6874.289,0.07400948
6877.3105,0.07292347
6880.3335,0.10491237
6883.3574,0.09125975
6886.3833,0.089923166
6889.41,0.13999051
6892.438,0.086881645
6895.468,0.07595996
6898.4985,0.10145198
6901.531,0.13759321
6904.5645,0.07741895
6907.599,0.07157029
6910.6353,0.1243886
6913.673,0.15055685
6916.712,0.073247
6919.752,0.093799606
6922.7935,0.24043289
6925.8364,0.12922342
6928.8804,0.07392267
6931.9263,0.06933874
6934.973,0.07022588
6938.021,0.13033834
6941.071,0.13174182
6944.1216,0.071904406
6947.174,0.18335743
6950.2275,0.23154294
6953.282,0.08279037
6956.339,0.07782702
6959.3965,0.07620466
6962.455,0.07450565
6965.5156,0.07887688
6968.577,0.11634993
6971.64,0.108489014
6974.7046,0.08558879
6977.7705,0.18311182
6980.8374,0.12290536
6983.906,0.07790168
6986.9756,0.07715225
6990.0464,0.0743929
6993.119,0.07233304
6996.193,0.0760299
6999.268,0.07490321
7002.344,0.093463264
7005.4224,0.09026747
7008.5015,0.08378457
7011.582,0.12566687
7014.664,0.076879434
7017.747,0.06640793
7020.8315,0.0680872
7023.9175,0.06672466
7027.005,0.06811517
7030.0938,0.072878264
7033.1836,0.07181819
7036.275,0.06683885
7039.3677,0.07666569
7042.462,0.08440792
7045.5576,0.094784945
7048.6543,0.119899884
7051.7524,0.09177459
7054.852,0.07892759
7057.953,0.07210289
7061.055,0.077421516
7064.1587,0.08399285
7067.2637,0.08300993
7070.37,0.081222124
7073.478,0.08067721
7076.587,0.07901388
7079.6978,0.081956
7082.8096,0.086177394
7085.923,0.079808034
7089.037,0.0938554
7092.1533,0.078148976
7095.2705,0.07032828
7098.389,0.0699377
7101.5093,0.06967762
7104.6304,0.07033594
7107.7534,0.070142455
7110.8774,0.0699775
7114.003,0.06922446
7117.13,0.06911794
7120.2583,0.06761875
7123.388,0.068394944
7126.519,0.078304656
7129.6514,0.07593664
7132.785,0.078569666
7135.9204,0.071607955
7139.057,0.07074909
7142.195,0.08822834
7145.334,0.09354721
7148.475,0.08312384
7151.617,0.07353461
7154.7603,0.069813296
7157.9053,0.07626926
7161.0513,0.07882561
7164.199,0.07731481
7167.348,0.07711175
7170.4985,0.0759352
7173.65,0.0766176
7176.803,0.07850536
7179.958,0.0766904
7183.114,0.07316208
7186.271,0.06435771
7189.4297,0.06567413
7192.59,0.06323097
7195.751,0.06298722
7198.914,0.0671374
7202.078,0.06584364
7205.244,0.063322745
7208.411,0.06423957
7211.5796,0.063875996
7214.749,0.06389122
7217.9204,0.06503958
7221.093,0.0724466
7224.267,0.07453502
7227.4424,0.07327266
7230.619,0.07484245
7233.7974,0.078888945
7236.977,0.2060573
7240.1577,0.5270665
7243.3403,0.47388232
7246.524,0.38772836
7249.709,0.10812871
7252.8955,0.16643941
7256.0835,0.11954843
7259.273,0.07683024
7262.464,0.07495267
7265.656,0.082602076
7268.8496,0.09508092
7272.0444,0.110514544
7275.2407,0.62637097
7278.4385,0.40429354
7281.6377,0.15818025
7284.8384,0.30501595
7288.0405,0.10534164
7291.2437,0.082238376
7294.4487,0.12391708
7297.655,0.11582517
7300.863,0.106402606
7304.072,0.21208633
7307.282,0.092797056
7310.494,0.087732196
7313.707,0.25103715
7316.922,0.5243923
7320.138,0.10573035
7323.3555,0.06731668
7326.5747,0.1415853
7329.795,0.27526408
7333.0166,0.09045673
7336.2397,0.079885945
7339.4644,0.494987
7342.6904,0.42359883
7345.918,0.08261392
7349.1465,0.08121642
7352.377,0.085002795
7355.609,0.11961263
7358.842,0.25961396
7362.076,0.102555126
7365.3125,0.10446378
7368.55,0.46016335
7371.7886,0.2480156
7375.029,0.08046456
7378.2705,0.07282418
7381.513,0.07062135
7384.758,0.06993124
7388.004,0.07775512
7391.251,0.18957596
7394.5,0.13198946
7397.75,0.08480186
7401.002,0.31937942
7404.255,0.18467335
7407.5093,0.065443635
7410.765,0.07132567
7414.0225,0.07496736
7417.2812,0.07172961
7420.5415,0.067138694
7423.803,0.067175426
7427.0664,0.090548135
7430.331,0.13995796
7433.5967,0.07466498
7436.8643,0.16860794
7440.133,0.169379
7443.4033,0.06858141
7446.675,0.064931825
7449.948,0.065961234
7453.2227,0.06708736
7456.4985,0.06819984
7459.7764,0.07968176
7463.055,0.101401694
7466.3354,0.121445
7469.617,0.13014294
7472.9004,0.19182025
7476.185,0.12088512
7479.471,0.18291122
7482.759,0.19838598
7486.048,0.11423376
7489.3384,0.07418643
7492.63,0.09993618
7495.9233,0.08434416
7499.2183,0.070291355
7502.5146,0.06957858
7505.812,0.0660695
7509.1113,0.06589488
7512.412,0.06491249
7515.714,0.08601903
7519.0176,0.09493435
7522.3223,0.31526834
7525.629,0.30359587
7528.9365,0.14002547
7532.246,0.13480064
7535.5566,0.0714214
7538.8687,0.090398334
7542.1826,0.08617529
7545.4976,0.06871222
7548.814,0.06875318
7552.1323,0.0733558
7555.4517,0.107615836
7558.7725,0.123685084
7562.095,0.07128631
7565.419,0.07831351
7568.744,0.14683177
7572.0713,0.31095022
7575.3994,0.11125199
7578.729,0.06793516
7582.06,0.07186252
7585.393,0.14891894
7588.727,0.097222745
7592.0625,0.06715996
7595.3994,0.11613983
7598.7383,0.31027102
7602.078,0.10795355
7605.4194,0.079628065
7608.762,0.07914091
7612.107,0.076660864
7615.4526,0.095952496
7618.8,0.14104666
7622.149,0.10344034
7625.499,0.12197065
7628.8506,0.25649476
7632.204,0.09926408
7635.5586,0.06796981
7638.915,0.068319134
7642.2725,0.069966726
7645.632,0.06738674
7648.992,0.070263274
7652.3545,0.104792304
7655.718,0.08223806
7659.083,0.07849035
7662.449,0.15700446
7665.8174,0.078764334
7669.1865,0.062324226
7672.5576,0.06476798
7675.93,0.061502706
7679.304,0.06682288
7682.679,0.07981566
7686.056,0.08816963
7689.4346,0.091337614
7692.8145,0.0941803
7696.196,0.08747559
7699.5786,0.12978104
7702.963,0.07930655
7706.3486,0.0675903
7709.736,0.22953941
7713.125,0.64465374
7716.515,0.7003388
7719.9067,0.25104037
7723.3,0.18138517
7726.695,0.2016059
7730.091,0.08498782
7733.489,0.0993796
7736.8877,0.09929858
7740.2886,0.0830623
7743.691,0.0771885
7747.094,0.21075234
7750.4995,0.8728645
7753.9062,0.2181205
7757.3145,0.18595527
7760.724,0.3258257
7764.1353,0.0800062
7767.548,0.07190366
7770.9624,0.12806343
7774.378,0.17449327
7777.795,0.13573231
7781.214,0.23029275
7784.634,0.090026595
7788.0557,0.092682384
7791.479,0.31763008
7794.9033,0.6000039
7798.3296,0.09089853
7801.7573,0.06835432
7805.1865,0.116778105
7808.617,0.3229149
7812.0493,0.11464755
7815.4834,0.0943868
7818.9185,0.35925427
7822.3555,0.7125477
7825.7935,0.100521676
7829.2334,0.08293007
7832.675,0.07374857
7836.117,0.071386725
7839.5615,0.22146259
7843.0073,0.21686277
7846.455,0.08832755
7849.904,0.27834076
7853.354,0.84398496
7856.806,0.2763408
7860.2593,0.38398463
7863.7144,0.14294049
7867.171,0.23482205
7870.629,0.43083695
7874.0884,0.12304119
7877.5493,0.22180714
7881.0117,0.2891661
7884.4756,0.13596554
7887.9414,0.32569066
7891.4087,0.36290997
7894.877,0.093845814
7898.347,0.078400776
7901.819,0.07406214
7905.292,0.079705305
7908.7666,0.10597536
7912.243,0.8152893
7915.7207,0.57813376
7919.2,0.3606008
7922.681,0.35364735
7926.1636,0.085071765
7929.6475,0.27550668
7933.133,0.2531739
7936.6196,0.07055408
7940.108,0.07225187
7943.598,0.0852307
7947.09,0.18890157
7950.583,0.2200707
7954.0776,0.06889174
7957.5737,0.06121728
7961.0713,0.15181059
7964.5703,0.74469674
7968.0713,0.22045538
7971.5737,0.082599655
7975.0776,0.12021801
7978.583,0.35800868
7982.09,0.18594576
7985.598,0.074415125
7989.1084,0.12731697
7992.6196,0.79330397
7996.133,0.30553657
7999.6475,0.08497237
8003.1636,0.079030305
8006.6816,0.06650495
8010.2007,0.0885869
8013.7217,0.27629519
8017.244,0.12878594
8020.768,0.108382784
8024.2935,0.46467888
8027.8203,0.41032273
8031.349,0.10529956
8034.879,0.0746473
8038.4106,0.06562435
8041.944,0.06750751
8045.479,0.062138807
8049.015,0.11066206
8052.553,0.19147351
8056.0923,0.07083537
8059.6333,0.17529841
8063.1763,0.30643156
8066.72,0.073243156
8070.2656,0.060774643
8073.813,0.066330016
8077.362,0.07662966
8080.912,0.06392717
8084.4644,0.08260618
8088.0176,0.06492054
8091.5728,0.09088549
8095.1294,0.10823376
8098.6875,0.07600497
8102.247,0.18411505
8105.8086,0.09193866
8109.371,0.066376835
8112.9355,0.06313
8116.5015,0.059010617
8120.0693,0.058152054
8123.638,0.060581405
8127.209,0.0644195
8130.7812,0.065231666
8134.355,0.06696042
8137.9307,0.095661595
8141.5073,0.07904255
8145.086,0.09328477
8148.666,0.09251597
8152.248,0.05760546
8155.831,0.056064617
8159.416,0.059751492
8163.0024,0.05832715
8166.5903,0.058693
8170.18,0.061864607
8173.771,0.070966996
8177.364,0.07677888
8180.958,0.105111495
8184.554,0.1277982
8188.1514,0.124777965
8191.7505,0.12182335
8195.352,0.15550305
8198.953,0.10702669
8202.558,0.097964555
8206.162,0.09396761
8209.77,0.07893248
8213.378,0.072160386
8216.988,0.067388356
8220.6,0.061298087
8224.213,0.061993416
8227.828,0.05286983
8231.444,0.05037363
8235.0625,0.054036334
8238.683,0.05799271
8242.304,0.06762514
8245.927,0.067924365
8249.551,0.065945044
8253.177,0.059247483
8256.805,0.057173535
8260.434,0.05238012
8264.064,0.052631333
8267.697,0.05425896
8271.331,0.05428243
8274.967,0.09009846
8278.604,0.3683317
8282.242,0.4787235
8285.883,0.42311287
8289.525,0.5980444
8293.169,0.14153814
8296.813,0.6203739
8300.461,0.5468955
8304.109,0.09115077
8307.759,0.123582706
8311.411,0.26843256
8315.063,0.068314314
8318.719,0.07514864
8322.375,0.054876488
8326.033,0.049078718
8329.693,0.04802562
8333.3545,0.049712736
8337.017,0.070094824
8340.682,0.29332885
8344.348,1.6700062
8348.016,0.33927068
8351.685,0.54320604
8355.355,0.2740656
8359.028,0.07831256
8362.702,0.20276575
8366.378,0.1960459
8370.056,0.054616287
8373.734,0.052559964
8377.415,0.07589039
8381.098,0.386949
8384.781,0.2094168
8388.467,0.060649913
8392.153,0.06592136
8395.843,0.2967021
8399.532,1.2389189
8403.225,0.1394332
8406.918,0.05397037
8410.613,0.06664298
8414.311,0.47462258
8418.009,0.20448373
8421.709,0.06688726
8425.41,0.122842215
8429.114,1.2671691
8432.818,0.5460873
8436.525,0.06291176
8440.233,0.050122134
8443.943,0.06516143
8447.655,0.08713819
8451.368,0.42395288
8455.083,0.1830545
8458.799,0.05846033
8462.518,0.3864632
8466.236,0.94201094
8469.958,0.07977126
8473.681,0.07272136
8477.405,0.055874504
8481.132,0.045541447
8484.859,0.048563376
8488.589,0.051530506
8492.32,0.27827823
8496.053,0.16317408
8499.787,0.07228631
8503.523,0.50133604
8507.261,0.28178197
8511,0.04866073
8514.741,0.044243716
8518.483,0.052116998
8522.229,0.05427685
8525.974,0.044160847
8529.722,0.041807998
8533.471,0.042915422
8537.222,0.1347868
8540.974,0.10411762
8544.729,0.07073532
8548.483,0.28794402
8552.241,0.090779185
8556,0.04388196
8559.761,0.042144887
8563.523,0.04087077
8567.287,0.0404088
8571.053,0.04944269
8574.82,0.05642904
8578.59,0.04906256
8582.36,0.04006754
8586.133,0.079393476
8589.906,0.08999255
8593.683,0.06440784
8597.459,0.13966885
8601.238,0.05352315
8605.019,0.04939402
8608.802,0.066524215
8612.585,0.115487285
8616.371,0.20024943
8620.158,0.3079915
8623.947,0.4141516
8627.737,0.47734737
8631.53,0.4706588
8635.324,0.38307163
8639.119,0.24974933
8642.917,0.12638883
8646.716,0.1870617
8650.517,0.38979974
8654.318,0.44212714
8658.122,0.44766027
8661.928,0.41204658
8665.735,0.40948611
8669.544,0.3546708
8673.3545,0.25030074
8677.167,0.2148096
8680.981,0.1908236
8684.797,0.12118614
8688.614,0.09749698
8692.434,0.089282885
8696.254,0.06665213
8700.076,0.08695004
8703.9,0.06287808
8707.727,0.07916487
8711.554,0.044336345
8715.383,0.036361493
8719.214,0.03686982
8723.046,0.036461666
8726.88,0.04427299
8730.716,0.033066064
8734.554,0.034521133
8738.393,0.045945093
8742.233,0.043801583
8746.076,0.037187275
8749.921,0.04269014
8753.767,0.042867433
8757.614,0.37321833
8761.464,0.92544794
8765.314,0.7912758
8769.167,0.8627608
8773.021,0.187173
8776.878,1.1955128
8780.735,0.47695315
8784.595,0.048638526
8788.456,0.20766583
8792.319,0.3690961
8796.184,0.04266773
8800.05,0.03740063
8803.918,0.032943677
8807.788,0.057799034
8811.659,0.06431485
8815.532,0.031188512
8819.407,0.042086016
8823.283,0.5105113
8827.162,2.5173488
8831.042,0.34651557
8834.924,0.8228269
8838.807,0.44329745
8842.691,0.052868187
8846.578,0.13739501
8850.467,0.30968887
8854.357,0.053666137
8858.249,0.044057403
8862.143,0.08403975
8866.038,0.5252356
8869.935,0.32680708
8873.834,0.03960684
8877.734,0.037166867
8881.636,0.1966626
8885.54,1.8449241
8889.445,0.30450806
8893.353,0.056065768
8897.262,0.06587482
8901.173,0.5358747
8905.085,0.49315354
8908.999,0.07505077
8912.915,0.05069488
8916.833,0.82138205
8920.752,1.7752445
8924.673,0.1033568
8928.596,0.08544909
8932.5205,0.0513911
8936.446,0.05788814
8940.375,0.24599275
8944.305,0.58673376
8948.235,0.049678802
8952.169,0.03964807
8956.104,1.0077626
8960.04,0.9205978
8963.979,0.057812873
8967.919,0.046036694
8971.86,0.06502209
8975.804,0.042427953
8979.749,0.0655683
8983.696,0.07910154
8987.645,0.500227
8991.596,0.17517121
8995.548,0.043935746